 ETA_AV=  0.081201829
   3.9800      0.857479  1.055985
   4.0000      0.857342  1.055816
   4.0200      0.857141  1.055568
   4.0400      0.856766  1.055106
   4.0600      0.856997  1.055391
   4.0800      0.856456  1.054725
   4.1000      0.856029  1.054199
   4.1200      0.856224  1.054439
   4.1400      0.856523  1.054808
   4.1600      0.856528  1.054813
   4.1800      0.856488  1.054764
   4.2000      0.856350  1.054595
   4.2200      0.856036  1.054208
   4.2400      0.856038  1.054210
   4.2600      0.855923  1.054068
   4.2800      0.855897  1.054036
   4.3000      0.855950  1.054102
   4.3200      0.855987  1.054147
   4.3400      0.856168  1.054370
   4.3600      0.856247  1.054468
   4.3800      0.855866  1.053998
   4.4000      0.856054  1.054230
   4.4200      0.855822  1.053944
   4.4400      0.855311  1.053315
   4.4600      0.855179  1.053152
   4.4800      0.855086  1.053038
   4.5000      0.855184  1.053158
   4.5200      0.855491  1.053536
   4.5400      0.855230  1.053216
   4.5600      0.854982  1.052909
   4.5800      0.854722  1.052590
   4.6000      0.854681  1.052539
   4.6200      0.854684  1.052543
   4.6400      0.854593  1.052430
   4.6600      0.854730  1.052599
   4.6800      0.854821  1.052712
   4.7000      0.854990  1.052919
   4.7200      0.854963  1.052886
   4.7400      0.854916  1.052829
   4.7600      0.855231  1.053216
   4.7800      0.855270  1.053264
   4.8000      0.855106  1.053063
   4.8200      0.855175  1.053147
   4.8400      0.855366  1.053382
   4.8600      0.855397  1.053420
   4.8800      0.855390  1.053412
   4.9000      0.855362  1.053377
   4.9200      0.855379  1.053398
   4.9400      0.855317  1.053323
   4.9600      0.855340  1.053350
   4.9800      0.855527  1.053581
   5.0000      0.855591  1.053660
   5.0200      0.855416  1.053444
   5.0400      0.855532  1.053588
   5.0600      0.855552  1.053612
   5.0800      0.855455  1.053492
   5.1000      0.855573  1.053638
   5.1200      0.855252  1.053242
   5.1400      0.855050  1.052994
   5.1600      0.855168  1.053139
   5.1800      0.855339  1.053349
   5.2000      0.855448  1.053484
   5.2200      0.855350  1.053363
   5.2400      0.855472  1.053514
   5.2600      0.855296  1.053297
   5.2800      0.855329  1.053337
   5.3000      0.855178  1.053152
   5.3200      0.854755  1.052631
   5.3400      0.854788  1.052671
   5.3600      0.854645  1.052494
   5.3800      0.854451  1.052256
   5.4000      0.854537  1.052362
   5.4200      0.854573  1.052406
   5.4400      0.854374  1.052161
   5.4600      0.854257  1.052017
   5.4800      0.854302  1.052073
   5.5000      0.854342  1.052121
   5.5200      0.854192  1.051937
   5.5400      0.854119  1.051846
   5.5600      0.853981  1.051677
   5.5800      0.854056  1.051770
   5.6000      0.854039  1.051749
   5.6200      0.853822  1.051481
   5.6400      0.853811  1.051468
   5.6600      0.853759  1.051404
   5.6800      0.853571  1.051172
   5.7000      0.853529  1.051121
   5.7200      0.853391  1.050951
   5.7400      0.853417  1.050983
   5.7600      0.853484  1.051065
   5.7800      0.853400  1.050961
   5.8000      0.853515  1.051104
   5.8200      0.853546  1.051141
   5.8400      0.853699  1.051330
   5.8600      0.853704  1.051336
   5.8800      0.853842  1.051506
   5.9000      0.854101  1.051825
   5.9200      0.854253  1.052011
   5.9400      0.854154  1.051891
   5.9600      0.854181  1.051924
   5.9800      0.854073  1.051791
   6.0000      0.854079  1.051797
   6.0200      0.854036  1.051745
   6.0400      0.853944  1.051631
   6.0600      0.853973  1.051667
   6.0800      0.854041  1.051750
   6.1000      0.854145  1.051879
   6.1200      0.854043  1.051753
   6.1400      0.854070  1.051787
   6.1600      0.854109  1.051834
   6.1800      0.854265  1.052026
   6.2000      0.854232  1.051986
   6.2200      0.854210  1.051959
   6.2400      0.854261  1.052022
   6.2600      0.854294  1.052063
   6.2800      0.854221  1.051972
   6.3000      0.854139  1.051872
