 ETA_AV=  0.0784246847
   0.0000      0.286198  0.364933
   0.0100      0.291218  0.371335
   0.0200      0.295997  0.377429
   0.0300      0.299053  0.381325
   0.0400      0.304204  0.387893
   0.0500      0.306775  0.391172
   0.0600      0.311996  0.397829
   0.0700      0.316893  0.404073
   0.0800      0.322694  0.411470
   0.0900      0.327887  0.418092
   0.1000      0.330800  0.421806
   0.1100      0.335007  0.427170
   0.1200      0.340581  0.434278
   0.1300      0.344111  0.438780
   0.1400      0.350756  0.447252
   0.1500      0.354026  0.451421
   0.1600      0.359812  0.458800
   0.1700      0.364027  0.464174
   0.1800      0.369846  0.471593
   0.1900      0.377297  0.481094
   0.2000      0.382581  0.487833
   0.2100      0.386512  0.492845
   0.2200      0.393817  0.502159
   0.2300      0.397628  0.507019
   0.2400      0.403280  0.514225
   0.2500      0.408508  0.520892
   0.2600      0.412663  0.526190
   0.2700      0.417105  0.531854
   0.2800      0.424159  0.540849
   0.2900      0.428197  0.545998
   0.3000      0.433050  0.552186
   0.3100      0.437158  0.557425
   0.3200      0.441881  0.563447
   0.3300      0.444871  0.567259
   0.3400      0.449702  0.573419
   0.3500      0.456672  0.582307
   0.3600      0.460821  0.587597
   0.3700      0.466909  0.595360
   0.3800      0.473332  0.603549
   0.3900      0.479503  0.611419
   0.4000      0.483319  0.616284
   0.4100      0.488108  0.622391
   0.4200      0.492787  0.628357
   0.4300      0.495899  0.632325
   0.4400      0.502173  0.640325
   0.4500      0.508234  0.648053
   0.4600      0.511486  0.652200
   0.4700      0.515802  0.657704
   0.4800      0.520656  0.663893
   0.4900      0.521949  0.665541
   0.5000      0.527966  0.673214
   0.5100      0.534313  0.681307
   0.5200      0.538914  0.687174
   0.5300      0.543874  0.693498
   0.5400      0.549007  0.700043
   0.5500      0.553150  0.705327
   0.5600      0.558239  0.711815
   0.5700      0.565013  0.720453
   0.5800      0.569685  0.726410
   0.5900      0.575545  0.733882
   0.6000      0.576808  0.735493
   0.6100      0.583556  0.744098
   0.6200      0.589423  0.751578
   0.6300      0.594460  0.758002
   0.6400      0.601139  0.766518
   0.6500      0.607261  0.774324
   0.6600      0.611555  0.779799
   0.6700      0.615573  0.784923
   0.6800      0.620594  0.791325
   0.6900      0.624919  0.796839
   0.7000      0.632635  0.806679
   0.7100      0.638049  0.813582
   0.7200      0.643759  0.820863
   0.7300      0.646361  0.824181
   0.7400      0.652963  0.832598
   0.7500      0.657620  0.838538
   0.7600      0.662990  0.845385
   0.7700      0.669328  0.853466
   0.7800      0.674113  0.859567
   0.7900      0.678918  0.865695
   0.8000      0.681277  0.868702
   0.8100      0.687190  0.876242
   0.8200      0.693118  0.883800
   0.8300      0.701757  0.894816
   0.8400      0.708319  0.903184
   0.8500      0.712712  0.908785
   0.8600      0.716131  0.913144
   0.8700      0.722841  0.921701
   0.8800      0.727762  0.927975
   0.8900      0.735226  0.937493
   0.9000      0.742049  0.946194
   0.9100      0.749152  0.955251
   0.9200      0.752926  0.960063
   0.9300      0.757504  0.965900
   0.9400      0.763832  0.973968
   0.9500      0.769956  0.981778
   0.9600      0.777205  0.991021
   0.9700      0.783629  0.999212
   0.9800      0.789441  1.006623
   0.9900      0.788240  1.005092
   1.0000      0.788117  1.004935
   1.0100      0.788627  1.005586
   1.0200      0.790180  1.007566
   1.0300      0.793236  1.011462
   1.0400      0.795609  1.014488
   1.0500      0.797593  1.017018
   1.0600      0.796871  1.016097
   1.0700      0.798675  1.018398
   1.0800      0.797595  1.017021
   1.0900      0.799094  1.018932
   1.1000      0.800144  1.020271
   1.1100      0.802498  1.023273
   1.1200      0.802628  1.023438
   1.1300      0.804812  1.026222
   1.1400      0.805982  1.027715
   1.1500      0.807859  1.030109
   1.1600      0.809831  1.032622
   1.1700      0.810439  1.033398
   1.1800      0.811374  1.034590
   1.1900      0.811830  1.035172
   1.2000      0.811913  1.035278
   1.2100      0.811068  1.034199
   1.2200      0.811938  1.035309
   1.2300      0.810871  1.033948
   1.2400      0.810921  1.034013
   1.2500      0.811793  1.035125
   1.2600      0.813147  1.036851
   1.2700      0.814362  1.038400
   1.2800      0.814886  1.039068
   1.2900      0.816320  1.040896
   1.3000      0.816947  1.041697
   1.3100      0.818330  1.043460
   1.3200      0.818327  1.043456
   1.3300      0.819802  1.045337
   1.3400      0.818794  1.044051
   1.3500      0.819737  1.045254
   1.3600      0.820028  1.045625
   1.3700      0.820386  1.046081
   1.3800      0.823078  1.049514
   1.3900      0.824155  1.050887
   1.4000      0.824719  1.051607
   1.4100      0.825006  1.051972
   1.4200      0.825048  1.052026
   1.4300      0.825771  1.052948
   1.4400      0.826437  1.053798
   1.4500      0.827402  1.055027
   1.4600      0.827673  1.055373
   1.4700      0.827558  1.055226
   1.4800      0.828682  1.056659
   1.4900      0.829719  1.057982
   1.5000      0.829886  1.058194
   1.5100      0.830866  1.059445
   1.5200      0.832845  1.061969
   1.5300      0.832949  1.062101
   1.5400      0.832382  1.061377
   1.5500      0.833468  1.062763
   1.5600      0.833291  1.062536
   1.5700      0.833960  1.063390
   1.5800      0.833678  1.063031
   1.5900      0.834368  1.063910
   1.6000      0.833116  1.062313
   1.6100      0.833235  1.062465
   1.6200      0.833020  1.062191
   1.6300      0.834260  1.063772
   1.6400      0.835068  1.064802
   1.6500      0.835166  1.064928
   1.6600      0.836624  1.066786
   1.6700      0.837662  1.068111
   1.6800      0.839045  1.069874
   1.6900      0.839251  1.070136
   1.7000      0.839604  1.070586
   1.7100      0.840847  1.072171
   1.7200      0.840736  1.072030
   1.7300      0.841153  1.072561
   1.7400      0.842479  1.074252
   1.7500      0.842321  1.074050
   1.7600      0.842105  1.073776
   1.7700      0.842654  1.074475
   1.7800      0.842721  1.074561
   1.7900      0.844492  1.076819
   1.8000      0.845155  1.077665
   1.8100      0.845592  1.078222
   1.8200      0.845146  1.077653
   1.8300      0.844388  1.076687
   1.8400      0.843570  1.075643
   1.8500      0.843379  1.075400
   1.8600      0.842190  1.073883
   1.8700      0.842569  1.074367
   1.8800      0.842425  1.074184
   1.8900      0.842443  1.074207
   1.9000      0.843068  1.075004
   1.9100      0.843003  1.074921
   1.9200      0.843653  1.075750
   1.9300      0.843660  1.075758
   1.9400      0.843803  1.075940
   1.9500      0.844740  1.077135
   1.9600      0.845438  1.078025
   1.9700      0.846498  1.079377
   1.9800      0.847138  1.080194
   1.9900      0.846542  1.079432
   2.0000      0.846214  1.079015
   2.0100      0.846052  1.078808
   2.0200      0.845967  1.078700
   2.0300      0.846873  1.079855
   2.0400      0.847102  1.080147
   2.0500      0.846810  1.079775
   2.0600      0.846330  1.079162
   2.0700      0.846117  1.078891
   2.0800      0.845978  1.078714
   2.0900      0.845315  1.077869
   2.1000      0.847053  1.080084
   2.1100      0.847055  1.080087
   2.1200      0.847497  1.080651
   2.1300      0.847319  1.080424
   2.1400      0.847037  1.080064
   2.1500      0.846834  1.079806
   2.1600      0.847582  1.080759
   2.1700      0.848288  1.081659
   2.1800      0.848546  1.081989
   2.1900      0.848507  1.081939
   2.2000      0.847904  1.081170
   2.2100      0.848068  1.081379
   2.2200      0.848009  1.081303
   2.2300      0.848000  1.081292
   2.2400      0.847960  1.081241
   2.2500      0.848454  1.081872
   2.2600      0.848528  1.081965
   2.2700      0.848128  1.081456
   2.2800      0.848846  1.082370
   2.2900      0.848782  1.082290
   2.3000      0.848272  1.081639
   2.3100      0.848403  1.081806
   2.3200      0.847908  1.081175
   2.3300      0.848588  1.082042
   2.3400      0.848599  1.082056
   2.3500      0.847785  1.081018
   2.3600      0.847629  1.080819
   2.3700      0.847950  1.081228
   2.3800      0.848390  1.081790
   2.3900      0.848880  1.082415
   2.4000      0.848829  1.082349
   2.4100      0.849079  1.082668
   2.4200      0.848645  1.082115
   2.4300      0.848708  1.082195
   2.4400      0.848604  1.082062
   2.4500      0.848938  1.082489
   2.4600      0.848693  1.082176
   2.4700      0.848537  1.081977
   2.4800      0.848575  1.082025
   2.4900      0.848931  1.082479
   2.5000      0.848511  1.081944
   2.5100      0.849130  1.082733
   2.5200      0.849068  1.082654
   2.5300      0.848632  1.082099
   2.5400      0.848454  1.081872
   2.5500      0.848605  1.082063
   2.5600      0.848515  1.081949
   2.5700      0.849178  1.082795
   2.5800      0.849913  1.083731
   2.5900      0.849872  1.083679
   2.6000      0.849534  1.083248
   2.6100      0.850121  1.083996
   2.6200      0.849920  1.083741
   2.6300      0.850306  1.084232
   2.6400      0.850394  1.084345
   2.6500      0.850710  1.084748
   2.6600      0.850558  1.084555
   2.6700      0.850389  1.084339
   2.6800      0.850863  1.084943
   2.6900      0.851060  1.085194
   2.7000      0.851290  1.085488
   2.7100      0.851267  1.085458
   2.7200      0.851256  1.085444
   2.7300      0.851324  1.085530
   2.7400      0.851616  1.085903
   2.7500      0.851768  1.086097
   2.7600      0.851249  1.085435
   2.7700      0.851811  1.086152
   2.7800      0.852934  1.087584
   2.7900      0.852695  1.087278
   2.8000      0.853006  1.087675
   2.8100      0.853014  1.087686
   2.8200      0.853197  1.087919
   2.8300      0.853524  1.088336
   2.8400      0.853696  1.088555
   2.8500      0.853798  1.088686
   2.8600      0.853982  1.088920
   2.8700      0.853993  1.088934
   2.8800      0.853480  1.088280
   2.8900      0.853996  1.088938
   2.9000      0.854426  1.089486
   2.9100      0.854925  1.090122
   2.9200      0.855235  1.090518
   2.9300      0.854791  1.089952
   2.9400      0.854982  1.090195
   2.9500      0.854694  1.089828
   2.9600      0.854781  1.089939
   2.9700      0.854936  1.090136
   2.9800      0.855253  1.090540
   2.9900      0.855732  1.091152
   3.0000      0.856074  1.091588
   3.0100      0.855846  1.091296
   3.0200      0.855729  1.091148
   3.0300      0.855971  1.091456
   3.0400      0.855956  1.091437
   3.0500      0.855817  1.091259
   3.0600      0.855721  1.091137
   3.0700      0.855517  1.090877
   3.0800      0.856046  1.091551
   3.0900      0.855539  1.090905
   3.1000      0.855465  1.090810
   3.1100      0.855043  1.090273
   3.1200      0.854940  1.090142
   3.1300      0.854612  1.089724
   3.1400      0.855297  1.090597
   3.1500      0.855470  1.090817
   3.1600      0.855968  1.091452
   3.1700      0.856399  1.092002
   3.1800      0.856516  1.092151
   3.1900      0.856923  1.092670
   3.2000      0.856962  1.092720
   3.2100      0.856693  1.092377
   3.2200      0.856902  1.092643
   3.2300      0.856483  1.092109
   3.2400      0.856251  1.091814
   3.2500      0.856035  1.091537
   3.2600      0.856418  1.092026
   3.2700      0.856365  1.091959
   3.2800      0.856197  1.091745
   3.2900      0.855906  1.091373
   3.3000      0.855771  1.091201
   3.3100      0.855191  1.090461
   3.3200      0.855453  1.090796
   3.3300      0.855634  1.091026
   3.3400      0.856054  1.091562
   3.3500      0.855772  1.091202
   3.3600      0.855773  1.091204
   3.3700      0.855207  1.090482
   3.3800      0.854974  1.090184
   3.3900      0.854659  1.089783
   3.4000      0.854440  1.089504
   3.4100      0.854449  1.089515
   3.4200      0.854733  1.089877
   3.4300      0.855324  1.090631
   3.4400      0.854788  1.089948
   3.4500      0.854652  1.089774
   3.4600      0.854714  1.089854
   3.4700      0.854539  1.089630
   3.4800      0.855212  1.090488
   3.4900      0.854971  1.090181
   3.5000      0.855025  1.090250
   3.5100      0.855119  1.090370
   3.5200      0.855429  1.090765
   3.5300      0.855802  1.091241
   3.5400      0.855840  1.091289
   3.5500      0.855906  1.091373
   3.5600      0.855976  1.091463
   3.5700      0.856157  1.091694
   3.5800      0.856345  1.091933
   3.5900      0.856651  1.092323
   3.6000      0.856422  1.092031
   3.6100      0.856158  1.091695
   3.6200      0.855951  1.091431
   3.6300      0.855797  1.091234
   3.6400      0.856273  1.091841
   3.6500      0.856362  1.091955
   3.6600      0.855983  1.091472
   3.6700      0.855715  1.091130
   3.6800      0.855147  1.090406
   3.6900      0.855631  1.091023
   3.7000      0.856163  1.091700
   3.7100      0.855968  1.091452
   3.7200      0.855623  1.091012
   3.7300      0.855858  1.091312
   3.7400      0.855965  1.091449
   3.7500      0.856049  1.091555
   3.7600      0.856159  1.091696
   3.7700      0.856077  1.091592
   3.7800      0.856107  1.091629
   3.7900      0.855920  1.091391
   3.8000      0.856048  1.091554
   3.8100      0.856004  1.091498
   3.8200      0.856006  1.091500
   3.8300      0.856184  1.091728
   3.8400      0.856428  1.092039
   3.8500      0.856544  1.092187
   3.8600      0.856328  1.091911
   3.8700      0.856256  1.091820
   3.8800      0.856376  1.091973
   3.8900      0.856451  1.092068
   3.9000      0.856518  1.092154
   3.9100      0.856685  1.092367
