 ETA_AV=  8.47117117E-05
   0.0000      0.129517 16.053598  0.000325
   3.7750      0.016275  2.017323  0.000041
   3.8000      0.016077  1.992752  0.000040
   3.8250      0.015427  1.912144  0.000039
   3.8500      0.015687  1.944457  0.000039
   3.8750      0.015655  1.940438  0.000039
   3.9000      0.015753  1.952549  0.000039
   3.9250      0.015686  1.944246  0.000039
   3.9500      0.015441  1.913905  0.000039
   3.9750      0.015076  1.868655  0.000038
   4.0000      0.014751  1.828415  0.000037
   4.0250      0.014868  1.842924  0.000037
   4.0500      0.014679  1.819482  0.000037
   4.0750      0.014249  1.766145  0.000036
   4.1000      0.014502  1.797558  0.000036
   4.1250      0.014434  1.789102  0.000036
   4.1500      0.014019  1.737705  0.000035
   4.1750      0.014494  1.796537  0.000036
   4.2000      0.013555  1.680091  0.000034
   4.2250      0.013627  1.689040  0.000034
   4.2500      0.013988  1.733817  0.000035
   4.2750      0.013669  1.694254  0.000034
   4.3000      0.013471  1.669778  0.000034
   4.3250      0.013408  1.661901  0.000034
   4.3500      0.013814  1.712304  0.000035
   4.3750      0.013083  1.621585  0.000033
   4.4000      0.012794  1.585793  0.000032
   4.4250      0.012829  1.590176  0.000032
   4.4500      0.012590  1.560496  0.000032
   4.4750      0.012432  1.540965  0.000031
   4.5000      0.012819  1.588882  0.000032
   4.5250      0.011830  1.466376  0.000030
   4.5500      0.012154  1.506456  0.000030
   4.5750      0.011931  1.478821  0.000030
   4.6000      0.012054  1.494067  0.000030
   4.6250      0.011700  1.450218  0.000029
   4.6500      0.012102  1.500095  0.000030
   4.6750      0.011410  1.414257  0.000029
   4.7000      0.011537  1.430045  0.000029
   4.7250      0.011680  1.447687  0.000029
   4.7500      0.011368  1.409056  0.000028
   4.7750      0.011194  1.387489  0.000028
   4.8000      0.010855  1.345421  0.000027
   4.8250      0.011176  1.385209  0.000028
   4.8500      0.011307  1.401518  0.000028
   4.8750      0.011062  1.371092  0.000028
   4.9000      0.010963  1.358865  0.000027
   4.9250      0.010742  1.331491  0.000027
