 ETA_AV=  0.0735711008
   3.9800      0.700230  0.996694
   4.0000      0.700229  0.996694
   4.0200      0.700229  0.996694
   4.0400      0.700229  0.996694
   4.0600      0.700229  0.996694
   4.0800      0.700229  0.996693
   4.1000      0.700229  0.996694
   4.1200      0.700229  0.996694
   4.1400      0.700230  0.996694
   4.1600      0.700230  0.996695
   4.1800      0.700230  0.996695
   4.2000      0.700231  0.996695
   4.2200      0.700231  0.996696
   4.2400      0.700231  0.996696
   4.2600      0.700232  0.996697
   4.2800      0.700232  0.996697
   4.3000      0.700232  0.996698
   4.3200      0.700232  0.996698
   4.3400      0.700233  0.996699
   4.3600      0.700234  0.996700
   4.3800      0.700234  0.996700
   4.4000      0.700234  0.996700
   4.4200      0.700234  0.996701
   4.4400      0.700235  0.996701
   4.4600      0.700235  0.996702
   4.4800      0.700235  0.996702
   4.5000      0.700235  0.996702
   4.5200      0.700236  0.996703
   4.5400      0.700236  0.996703
   4.5600      0.700236  0.996703
   4.5800      0.700236  0.996703
   4.6000      0.700236  0.996703
   4.6200      0.700236  0.996704
   4.6400      0.700236  0.996704
   4.6600      0.700237  0.996704
   4.6800      0.700237  0.996704
   4.7000      0.700237  0.996704
   4.7200      0.700237  0.996704
   4.7400      0.700237  0.996704
   4.7600      0.700237  0.996704
   4.7800      0.700237  0.996704
   4.8000      0.700237  0.996704
   4.8200      0.700237  0.996704
   4.8400      0.700237  0.996704
   4.8600      0.700237  0.996704
   4.8800      0.700237  0.996704
   4.9000      0.700237  0.996704
   4.9200      0.700237  0.996704
   4.9400      0.700237  0.996704
   4.9600      0.700237  0.996704
   4.9800      0.700237  0.996704
   5.0000      0.700237  0.996704
   5.0200      0.700237  0.996704
   5.0400      0.700237  0.996704
   5.0600      0.700237  0.996704
   5.0800      0.700237  0.996704
   5.1000      0.700237  0.996704
   5.1200      0.700237  0.996704
   5.1400      0.700237  0.996704
   5.1600      0.700237  0.996704
   5.1800      0.700237  0.996704
   5.2000      0.700237  0.996704
   5.2200      0.700237  0.996704
   5.2400      0.700237  0.996704
   5.2600      0.700237  0.996704
   5.2800      0.700237  0.996704
   5.3000      0.700237  0.996704
   5.3200      0.700237  0.996704
   5.3400      0.700237  0.996704
   5.3600      0.700237  0.996704
   5.3800      0.700237  0.996704
   5.4000      0.700236  0.996704
   5.4200      0.700236  0.996704
   5.4400      0.700236  0.996704
   5.4600      0.700236  0.996704
   5.4800      0.700236  0.996704
   5.5000      0.700236  0.996704
   5.5200      0.700236  0.996704
   5.5400      0.700236  0.996704
   5.5600      0.700236  0.996704
   5.5800      0.700236  0.996704
   5.6000      0.700236  0.996704
   5.6200      0.700236  0.996704
   5.6400      0.700236  0.996704
   5.6600      0.700236  0.996704
   5.6800      0.700236  0.996704
   5.7000      0.700236  0.996704
   5.7200      0.700236  0.996704
   5.7400      0.700236  0.996704
   5.7600      0.700236  0.996704
   5.7800      0.700236  0.996704
   5.8000      0.700236  0.996704
   5.8200      0.700236  0.996704
   5.8400      0.700236  0.996704
   5.8600      0.700236  0.996704
   5.8800      0.700236  0.996704
   5.9000      0.700236  0.996704
   5.9200      0.700236  0.996704
   5.9400      0.700236  0.996704
   5.9600      0.700236  0.996704
   5.9800      0.700236  0.996704
   6.0000      0.700236  0.996704
   6.0200      0.700236  0.996704
   6.0400      0.700236  0.996704
   6.0600      0.700236  0.996704
   6.0800      0.700237  0.996704
   6.1000      0.700237  0.996704
   6.1200      0.700237  0.996704
   6.1400      0.700237  0.996704
   6.1600      0.700237  0.996704
   6.1800      0.700237  0.996704
   6.2000      0.700237  0.996704
   6.2200      0.700237  0.996704
   6.2400      0.700237  0.996704
   6.2600      0.700237  0.996704
   6.2800      0.700237  0.996704
   6.3000      0.700237  0.996704
   6.3200      0.700237  0.996704
   6.3400      0.700237  0.996704
   6.3600      0.700237  0.996704
   6.3800      0.700237  0.996704
   6.4000      0.700237  0.996704
   6.4200      0.700237  0.996704
   6.4400      0.700237  0.996704
   6.4600      0.700237  0.996704
   6.4800      0.700237  0.996704
   6.5000      0.700237  0.996704
   6.5200      0.700237  0.996704
   6.5400      0.700237  0.996704
   6.5600      0.700237  0.996704
   6.5800      0.700237  0.996704
   6.6000      0.700237  0.996704
   6.6200      0.700237  0.996704
   6.6400      0.700237  0.996704
   6.6600      0.700237  0.996704
   6.6800      0.700237  0.996704
   6.7000      0.700237  0.996704
   6.7200      0.700237  0.996704
   6.7400      0.700237  0.996704
   6.7600      0.700237  0.996704
   6.7800      0.700237  0.996704
   6.8000      0.700237  0.996704
   6.8200      0.700237  0.996704
   6.8400      0.700237  0.996704
   6.8600      0.700237  0.996704
   6.8800      0.700237  0.996704
   6.9000      0.700237  0.996704
   6.9200      0.700237  0.996704
   6.9400      0.700237  0.996704
   6.9600      0.700237  0.996704
   6.9800      0.700237  0.996704
   7.0000      0.700237  0.996704
   7.0200      0.700237  0.996704
   7.0400      0.700237  0.996704
   7.0600      0.700237  0.996704
   7.0800      0.700237  0.996704
   7.1000      0.700237  0.996704
   7.1200      0.700237  0.996704
   7.1400      0.700237  0.996704
   7.1600      0.700237  0.996704
   7.1800      0.700237  0.996704
   7.2000      0.700237  0.996704
   7.2200      0.700237  0.996704
   7.2400      0.700237  0.996704
   7.2600      0.700237  0.996704
   7.2800      0.700237  0.996704
   7.3000      0.700237  0.996704
   7.3200      0.700237  0.996704
   7.3400      0.700237  0.996704
   7.3600      0.700237  0.996704
   7.3800      0.700237  0.996704
   7.4000      0.700237  0.996704
   7.4200      0.700237  0.996704
   7.4400      0.700237  0.996704
   7.4600      0.700237  0.996704
   7.4800      0.700237  0.996704
   7.5000      0.700237  0.996704
   7.5200      0.700237  0.996704
   7.5400      0.700237  0.996704
   7.5600      0.700237  0.996704
   7.5800      0.700237  0.996704
   7.6000      0.700237  0.996704
   7.6200      0.700237  0.996704
   7.6400      0.700237  0.996704
   7.6600      0.700237  0.996704
   7.6800      0.700237  0.996704
   7.7000      0.700237  0.996704
   7.7200      0.700237  0.996704
   7.7400      0.700237  0.996704
   7.7600      0.700237  0.996704
   7.7800      0.700236  0.996704
   7.8000      0.700236  0.996704
   7.8200      0.700236  0.996704
   7.8400      0.700236  0.996704
   7.8600      0.700236  0.996704
   7.8800      0.700236  0.996704
   7.9000      0.700236  0.996704
   7.9200      0.700236  0.996704
   7.9400      0.700236  0.996704
   7.9600      0.700236  0.996704
   7.9800      0.700236  0.996704
   8.0000      0.700236  0.996704
