 ETA_AV=  0.0929263681
   1.9900      1.010669  1.087601
   2.0000      1.010335  1.087242
   2.0100      1.010188  1.087085
   2.0200      1.009768  1.086632
   2.0300      1.010178  1.087074
   2.0400      1.009861  1.086732
   2.0500      1.009626  1.086480
   2.0600      1.009447  1.086287
   2.0700      1.008692  1.085475
   2.0800      1.008462  1.085227
   2.0900      1.007963  1.084690
   2.1000      1.008262  1.085012
   2.1100      1.007432  1.084118
   2.1200      1.007077  1.083736
   2.1300      1.007198  1.083867
   2.1400      1.006893  1.083538
   2.1500      1.006553  1.083173
   2.1600      1.006255  1.082852
   2.1700      1.006196  1.082788
   2.1800      1.006167  1.082758
   2.1900      1.005873  1.082441
   2.2000      1.005886  1.082455
   2.2100      1.005546  1.082089
   2.2200      1.005082  1.081589
   2.2300      1.005112  1.081622
   2.2400      1.004861  1.081352
   2.2500      1.004779  1.081263
   2.2600      1.005104  1.081614
   2.2700      1.004722  1.081203
   2.2800      1.004901  1.081395
   2.2900      1.004630  1.081104
   2.3000      1.004449  1.080909
   2.3100      1.004280  1.080727
   2.3200      1.004441  1.080900
   2.3300      1.004519  1.080984
   2.3400      1.004523  1.080989
   2.3500      1.004422  1.080880
   2.3600      1.004641  1.081115
   2.3700      1.004693  1.081172
   2.3800      1.004985  1.081486
   2.3900      1.005095  1.081603
   2.4000      1.004738  1.081220
   2.4100      1.004422  1.080880
   2.4200      1.004159  1.080596
   2.4300      1.004410  1.080866
   2.4400      1.004409  1.080866
   2.4500      1.004273  1.080719
   2.4600      1.003831  1.080243
   2.4700      1.003643  1.080041
   2.4800      1.003757  1.080164
   2.4900      1.003709  1.080112
   2.5000      1.003363  1.079740
   2.5100      1.003255  1.079624
   2.5200      1.003189  1.079553
   2.5300      1.002960  1.079306
   2.5400      1.003025  1.079376
   2.5500      1.002984  1.079332
   2.5600      1.003080  1.079435
   2.5700      1.003259  1.079628
   2.5800      1.003550  1.079941
   2.5900      1.003137  1.079497
   2.6000      1.002863  1.079202
   2.6100      1.002868  1.079208
   2.6200      1.002899  1.079240
   2.6300      1.003045  1.079397
   2.6400      1.003148  1.079509
   2.6500      1.003195  1.079559
   2.6600      1.003043  1.079396
   2.6700      1.002950  1.079295
   2.6800      1.002942  1.079287
   2.6900      1.002963  1.079309
   2.7000      1.003228  1.079594
   2.7100      1.003276  1.079646
   2.7200      1.003051  1.079404
   2.7300      1.003245  1.079612
   2.7400      1.003383  1.079761
   2.7500      1.003525  1.079914
   2.7600      1.003061  1.079415
   2.7700      1.003393  1.079772
   2.7800      1.003150  1.079511
   2.7900      1.003239  1.079607
   2.8000      1.003143  1.079504
   2.8100      1.002833  1.079169
   2.8200      1.002782  1.079115
   2.8300      1.002563  1.078879
   2.8400      1.002276  1.078570
   2.8500      1.002183  1.078470
   2.8600      1.002238  1.078529
   2.8700      1.002296  1.078592
   2.8800      1.002097  1.078377
   2.8900      1.002488  1.078799
   2.9000      1.002838  1.079175
   2.9100      1.003175  1.079538
   2.9200      1.003110  1.079468
