 ETA_AV=  0.19969891
   3.9800      1.000530  1.002039
   4.0000      1.000653  1.002161
   4.0200      1.000135  1.001643
   4.0400      0.999784  1.001292
   4.0600      0.999858  1.001366
   4.0800      0.999962  1.001469
   4.1000      1.000482  1.001990
   4.1200      1.000781  1.002290
   4.1400      1.000590  1.002098
   4.1600      1.000472  1.001980
   4.1800      1.000656  1.002164
   4.2000      1.000414  1.001923
   4.2200      1.000140  1.001648
   4.2400      0.999783  1.001290
   4.2600      0.999634  1.001141
   4.2800      0.999759  1.001267
   4.3000      0.999679  1.001186
   4.3200      0.999851  1.001359
   4.3400      1.000068  1.001576
   4.3600      1.000014  1.001522
   4.3800      0.999779  1.001287
   4.4000      0.999955  1.001462
   4.4200      1.000008  1.001516
   4.4400      0.999632  1.001140
   4.4600      0.999783  1.001290
   4.4800      0.999712  1.001219
   4.5000      0.999964  1.001472
   4.5200      0.999968  1.001476
   4.5400      1.000110  1.001618
   4.5600      1.000096  1.001604
   4.5800      1.000219  1.001727
   4.6000      1.000151  1.001659
   4.6200      1.000079  1.001587
   4.6400      0.999996  1.001504
   4.6600      0.999937  1.001445
   4.6800      0.999861  1.001369
   4.7000      0.999959  1.001466
   4.7200      1.000114  1.001622
   4.7400      1.000175  1.001683
   4.7600      1.000415  1.001923
   4.7800      1.000460  1.001969
   4.8000      1.000503  1.002011
   4.8200      1.000476  1.001984
   4.8400      1.000508  1.002016
   4.8600      1.000338  1.001846
   4.8800      1.000361  1.001870
   4.9000      1.000257  1.001765
   4.9200      1.000206  1.001714
   4.9400      1.000225  1.001733
   4.9600      1.000213  1.001721
   4.9800      1.000276  1.001784
   5.0000      1.000288  1.001796
   5.0200      1.000399  1.001907
   5.0400      1.000397  1.001905
   5.0600      1.000297  1.001805
   5.0800      1.000148  1.001656
   5.1000      1.000180  1.001688
   5.1200      1.000195  1.001703
   5.1400      1.000125  1.001633
   5.1600      1.000044  1.001551
   5.1800      0.999969  1.001476
   5.2000      0.999930  1.001437
   5.2200      0.999909  1.001416
   5.2400      0.999814  1.001322
   5.2600      0.999853  1.001360
   5.2800      0.999964  1.001472
   5.3000      0.999897  1.001405
   5.3200      0.999825  1.001333
   5.3400      0.999765  1.001272
   5.3600      0.999764  1.001271
   5.3800      0.999730  1.001237
   5.4000      0.999728  1.001235
   5.4200      0.999838  1.001346
   5.4400      0.999974  1.001481
   5.4600      0.999968  1.001476
   5.4800      0.999995  1.001503
   5.5000      1.000079  1.001587
   5.5200      1.000057  1.001565
   5.5400      1.000080  1.001588
   5.5600      1.000177  1.001685
   5.5800      1.000149  1.001657
   5.6000      1.000156  1.001664
   5.6200      1.000171  1.001679
   5.6400      1.000240  1.001748
   5.6600      1.000233  1.001741
   5.6800      1.000086  1.001594
   5.7000      1.000067  1.001575
   5.7200      1.000087  1.001595
   5.7400      1.000078  1.001586
   5.7600      1.000057  1.001565
   5.7800      1.000034  1.001542
   5.8000      1.000106  1.001614
   5.8200      1.000102  1.001610
   5.8400      1.000169  1.001677
   5.8600      1.000042  1.001550
   5.8800      1.000121  1.001629
   5.9000      1.000135  1.001643
   5.9200      1.000183  1.001691
   5.9400      1.000098  1.001606
   5.9600      1.000102  1.001609
   5.9800      1.000113  1.001621
   6.0000      1.000118  1.001626
   6.0200      1.000137  1.001645
   6.0400      1.000169  1.001677
   6.0600      1.000142  1.001650
   6.0800      1.000089  1.001597
   6.1000      1.000089  1.001597
   6.1200      1.000112  1.001620
   6.1400      1.000111  1.001618
   6.1600      1.000139  1.001647
   6.1800      1.000219  1.001727
   6.2000      1.000186  1.001694
   6.2200      1.000166  1.001674
   6.2400      1.000165  1.001673
   6.2600      1.000176  1.001684
   6.2800      1.000126  1.001634
   6.3000      1.000228  1.001736
   6.3200      1.000214  1.001722
   6.3400      1.000225  1.001733
   6.3600      1.000182  1.001690
   6.3800      1.000142  1.001649
   6.4000      1.000136  1.001644
   6.4200      1.000132  1.001640
   6.4400      1.000157  1.001665
   6.4600      1.000153  1.001661
   6.4800      1.000179  1.001687
   6.5000      1.000127  1.001635
   6.5200      1.000128  1.001636
   6.5400      1.000097  1.001605
   6.5600      1.000086  1.001593
   6.5800      1.000061  1.001569
   6.6000      1.000067  1.001575
   6.6200      1.000070  1.001578
   6.6400      1.000055  1.001563
   6.6600      1.000072  1.001580
   6.6800      1.000068  1.001576
   6.7000      1.000096  1.001604
   6.7200      1.000091  1.001599
   6.7400      1.000082  1.001590
   6.7600      1.000096  1.001603
   6.7800      1.000051  1.001559
   6.8000      1.000045  1.001553
   6.8200      1.000041  1.001549
   6.8400      1.000055  1.001563
   6.8600      1.000037  1.001545
   6.8800      1.000011  1.001518
   6.9000      1.000062  1.001570
   6.9200      1.000053  1.001561
   6.9400      1.000083  1.001591
   6.9600      1.000074  1.001582
   6.9800      1.000061  1.001569
   7.0000      1.000104  1.001612
   7.0200      1.000089  1.001596
   7.0400      1.000100  1.001608
   7.0600      1.000096  1.001604
   7.0800      1.000091  1.001599
   7.1000      1.000108  1.001616
   7.1200      1.000109  1.001617
   7.1400      1.000124  1.001632
   7.1600      1.000132  1.001640
   7.1800      1.000126  1.001634
   7.2000      1.000111  1.001618
   7.2200      1.000122  1.001630
   7.2400      1.000122  1.001630
   7.2600      1.000138  1.001646
   7.2800      1.000130  1.001638
   7.3000      1.000151  1.001659
   7.3200      1.000142  1.001649
   7.3400      1.000133  1.001641
   7.3600      1.000117  1.001625
   7.3800      1.000111  1.001619
   7.4000      1.000112  1.001620
   7.4200      1.000126  1.001633
   7.4400      1.000118  1.001626
   7.4600      1.000104  1.001612
   7.4800      1.000115  1.001622
   7.5000      1.000124  1.001632
   7.5200      1.000118  1.001626
   7.5400      1.000126  1.001634
   7.5600      1.000128  1.001636
   7.5800      1.000116  1.001624
   7.6000      1.000111  1.001618
   7.6200      1.000098  1.001606
   7.6400      1.000087  1.001594
   7.6600      1.000079  1.001587
   7.6800      1.000073  1.001581
   7.7000      1.000082  1.001590
   7.7200      1.000097  1.001605
   7.7400      1.000113  1.001621
   7.7600      1.000102  1.001610
   7.7800      1.000090  1.001598
   7.8000      1.000075  1.001583
   7.8200      1.000090  1.001598
   7.8400      1.000099  1.001607
   7.8600      1.000102  1.001609
   7.8800      1.000112  1.001619
   7.9000      1.000107  1.001615
   7.9200      1.000087  1.001594
   7.9400      1.000078  1.001586
   7.9600      1.000079  1.001586
   7.9800      1.000089  1.001597
   8.0000      1.000078  1.001586
