 ETA_AV=  0.105777204
   3.9800      1.000019  0.990022
   4.0000      1.000025  0.990027
   4.0200      1.000030  0.990033
   4.0400      1.000035  0.990038
   4.0600      1.000040  0.990043
   4.0800      1.000044  0.990046
   4.1000      1.000049  0.990051
   4.1200      1.000053  0.990056
   4.1400      1.000058  0.990060
   4.1600      1.000062  0.990064
   4.1800      1.000065  0.990067
   4.2000      1.000068  0.990071
   4.2200      1.000071  0.990074
   4.2400      1.000074  0.990076
   4.2600      1.000077  0.990079
   4.2800      1.000079  0.990081
   4.3000      1.000080  0.990083
   4.3200      1.000082  0.990084
   4.3400      1.000083  0.990085
   4.3600      1.000083  0.990086
   4.3800      1.000084  0.990086
   4.4000      1.000084  0.990086
   4.4200      1.000084  0.990086
   4.4400      1.000083  0.990086
   4.4600      1.000083  0.990085
   4.4800      1.000083  0.990085
   4.5000      1.000082  0.990084
   4.5200      1.000081  0.990083
   4.5400      1.000080  0.990082
   4.5600      1.000079  0.990081
   4.5800      1.000078  0.990080
   4.6000      1.000077  0.990080
   4.6200      1.000076  0.990079
   4.6400      1.000075  0.990078
   4.6600      1.000075  0.990077
   4.6800      1.000073  0.990076
   4.7000      1.000072  0.990075
   4.7200      1.000071  0.990073
   4.7400      1.000070  0.990072
   4.7600      1.000069  0.990071
   4.7800      1.000068  0.990070
   4.8000      1.000067  0.990069
   4.8200      1.000066  0.990068
   4.8400      1.000065  0.990067
   4.8600      1.000064  0.990066
   4.8800      1.000063  0.990066
   4.9000      1.000063  0.990065
   4.9200      1.000062  0.990065
   4.9400      1.000062  0.990064
   4.9600      1.000062  0.990064
   4.9800      1.000061  0.990064
   5.0000      1.000061  0.990063
   5.0200      1.000061  0.990063
   5.0400      1.000061  0.990063
   5.0600      1.000061  0.990063
   5.0800      1.000060  0.990063
   5.1000      1.000060  0.990063
   5.1200      1.000060  0.990063
   5.1400      1.000060  0.990063
   5.1600      1.000060  0.990063
   5.1800      1.000061  0.990063
   5.2000      1.000061  0.990063
   5.2200      1.000061  0.990063
   5.2400      1.000061  0.990064
   5.2600      1.000061  0.990064
   5.2800      1.000061  0.990064
   5.3000      1.000062  0.990064
   5.3200      1.000062  0.990064
   5.3400      1.000062  0.990064
   5.3600      1.000062  0.990065
   5.3800      1.000063  0.990065
   5.4000      1.000063  0.990065
   5.4200      1.000063  0.990066
   5.4400      1.000063  0.990066
   5.4600      1.000063  0.990066
   5.4800      1.000064  0.990066
   5.5000      1.000064  0.990066
   5.5200      1.000064  0.990066
   5.5400      1.000064  0.990066
   5.5600      1.000064  0.990066
   5.5800      1.000064  0.990066
   5.6000      1.000064  0.990067
   5.6200      1.000064  0.990067
   5.6400      1.000064  0.990067
   5.6600      1.000064  0.990067
   5.6800      1.000064  0.990067
   5.7000      1.000064  0.990067
   5.7200      1.000064  0.990067
   5.7400      1.000064  0.990067
   5.7600      1.000064  0.990067
   5.7800      1.000064  0.990067
   5.8000      1.000064  0.990067
   5.8200      1.000064  0.990067
   5.8400      1.000064  0.990067
   5.8600      1.000064  0.990067
   5.8800      1.000064  0.990067
   5.9000      1.000064  0.990067
   5.9200      1.000064  0.990067
   5.9400      1.000064  0.990067
   5.9600      1.000064  0.990067
   5.9800      1.000064  0.990067
   6.0000      1.000064  0.990067
   6.0200      1.000064  0.990067
   6.0400      1.000064  0.990067
   6.0600      1.000064  0.990067
   6.0800      1.000064  0.990067
   6.1000      1.000064  0.990067
   6.1200      1.000064  0.990066
   6.1400      1.000064  0.990066
   6.1600      1.000064  0.990066
   6.1800      1.000064  0.990066
   6.2000      1.000064  0.990066
   6.2200      1.000064  0.990066
   6.2400      1.000064  0.990066
   6.2600      1.000064  0.990066
   6.2800      1.000064  0.990066
   6.3000      1.000064  0.990066
   6.3200      1.000064  0.990066
   6.3400      1.000064  0.990066
   6.3600      1.000064  0.990066
   6.3800      1.000064  0.990066
   6.4000      1.000064  0.990066
   6.4200      1.000064  0.990066
   6.4400      1.000064  0.990066
   6.4600      1.000064  0.990066
   6.4800      1.000064  0.990066
   6.5000      1.000064  0.990066
   6.5200      1.000064  0.990066
   6.5400      1.000064  0.990066
   6.5600      1.000064  0.990066
   6.5800      1.000064  0.990066
   6.6000      1.000064  0.990066
   6.6200      1.000064  0.990066
   6.6400      1.000064  0.990066
   6.6600      1.000064  0.990066
   6.6800      1.000064  0.990066
   6.7000      1.000064  0.990066
   6.7200      1.000064  0.990066
   6.7400      1.000064  0.990066
   6.7600      1.000064  0.990066
   6.7800      1.000064  0.990066
   6.8000      1.000064  0.990066
   6.8200      1.000064  0.990066
   6.8400      1.000064  0.990066
   6.8600      1.000064  0.990066
   6.8800      1.000064  0.990066
   6.9000      1.000064  0.990066
   6.9200      1.000064  0.990066
   6.9400      1.000064  0.990066
   6.9600      1.000064  0.990066
   6.9800      1.000064  0.990066
   7.0000      1.000064  0.990066
   7.0200      1.000064  0.990066
   7.0400      1.000064  0.990066
   7.0600      1.000064  0.990066
   7.0800      1.000064  0.990066
   7.1000      1.000064  0.990066
   7.1200      1.000064  0.990066
   7.1400      1.000064  0.990066
   7.1600      1.000064  0.990066
   7.1800      1.000064  0.990066
   7.2000      1.000064  0.990066
   7.2200      1.000064  0.990066
   7.2400      1.000064  0.990066
   7.2600      1.000064  0.990066
   7.2800      1.000064  0.990066
   7.3000      1.000064  0.990066
   7.3200      1.000064  0.990066
   7.3400      1.000064  0.990066
   7.3600      1.000064  0.990066
   7.3800      1.000064  0.990066
   7.4000      1.000064  0.990066
   7.4200      1.000064  0.990066
   7.4400      1.000064  0.990066
   7.4600      1.000064  0.990066
   7.4800      1.000064  0.990066
   7.5000      1.000064  0.990066
   7.5200      1.000064  0.990066
   7.5400      1.000064  0.990066
   7.5600      1.000064  0.990066
   7.5800      1.000064  0.990066
   7.6000      1.000064  0.990066
   7.6200      1.000064  0.990066
   7.6400      1.000064  0.990066
   7.6600      1.000064  0.990066
   7.6800      1.000064  0.990066
   7.7000      1.000064  0.990066
   7.7200      1.000064  0.990066
   7.7400      1.000064  0.990066
   7.7600      1.000064  0.990066
