 ETA_AV=  0.305066556
   3.9800      1.001089  0.984464
   4.0000      1.001592  0.984958
   4.0200      0.999768  0.983164
   4.0400      0.997992  0.981417
   4.0600      0.997751  0.981181
   4.0800      1.000472  0.983856
   4.1000      0.999450  0.982851
   4.1200      0.999515  0.982916
   4.1400      0.999602  0.983000
   4.1600      0.999569  0.982968
   4.1800      0.998316  0.981736
   4.2000      0.998315  0.981735
   4.2200      0.996569  0.980018
   4.2400      0.995942  0.979402
   4.2600      0.997979  0.981405
   4.2800      0.998829  0.982241
   4.3000      1.001165  0.984538
   4.3200      0.999595  0.982994
   4.3400      0.998787  0.982199
   4.3600      0.999816  0.983211
   4.3800      0.997850  0.981278
   4.4000      1.000086  0.983477
   4.4200      1.000596  0.983978
   4.4400      1.000295  0.983683
   4.4600      0.999783  0.983178
   4.4800      0.999062  0.982470
   4.5000      0.999459  0.982860
   4.5200      0.999573  0.982972
   4.5400      0.999422  0.982823
   4.5600      0.998492  0.981909
   4.5800      0.998320  0.981740
   4.6000      1.000337  0.983724
   4.6200      0.999756  0.983152
   4.6400      0.998775  0.982188
   4.6600      0.999766  0.983162
   4.6800      0.999808  0.983203
   4.7000      1.000775  0.984154
   4.7200      1.001075  0.984450
   4.7400      1.000701  0.984081
   4.7600      1.000781  0.984161
   4.7800      1.003733  0.987063
   4.8000      1.002351  0.985704
   4.8200      1.002669  0.986017
   4.8400      1.004207  0.987530
   4.8600      1.003634  0.986966
   4.8800      1.001734  0.985097
   4.9000      1.000373  0.983759
   4.9200      0.999914  0.983307
   4.9400      0.999535  0.982935
   4.9600      0.999397  0.982799
   4.9800      1.000300  0.983687
   5.0000      1.000196  0.983585
   5.0200      0.999874  0.983268
   5.0400      1.000799  0.984178
   5.0600      1.000991  0.984367
   5.0800      1.000349  0.983736
   5.1000      0.999966  0.983359
   5.1200      0.999877  0.983271
   5.1400      0.999941  0.983334
   5.1600      0.999302  0.982706
   5.1800      0.999057  0.982464
   5.2000      0.999449  0.982851
   5.2200      0.999543  0.982943
   5.2400      0.999332  0.982735
   5.2600      0.999528  0.982928
   5.2800      0.999923  0.983316
   5.3000      0.999786  0.983181
   5.3200      0.999733  0.983129
   5.3400      0.999458  0.982859
   5.3600      0.999629  0.983027
   5.3800      1.000046  0.983437
   5.4000      0.999624  0.983022
   5.4200      1.000260  0.983648
   5.4400      1.000531  0.983914
   5.4600      1.000157  0.983547
   5.4800      0.999587  0.982986
   5.5000      1.000398  0.983784
   5.5200      0.999748  0.983144
   5.5400      0.999789  0.983185
   5.5600      0.999874  0.983268
   5.5800      0.999941  0.983334
   5.6000      1.000905  0.984282
   5.6200      1.000686  0.984066
   5.6400      1.000609  0.983991
   5.6600      1.000058  0.983449
   5.6800      0.999569  0.982968
   5.7000      0.999468  0.982869
   5.7200      0.999244  0.982649
   5.7400      0.999316  0.982719
   5.7600      0.999510  0.982910
   5.7800      0.999609  0.983008
   5.8000      0.999930  0.983324
   5.8200      1.000849  0.984227
   5.8400      1.001295  0.984666
   5.8600      1.000817  0.984196
   5.8800      1.000666  0.984047
   5.9000      1.001099  0.984473
   5.9200      1.001295  0.984665
   5.9400      1.000604  0.983986
   5.9600      1.000376  0.983762
   5.9800      1.000820  0.984198
   6.0000      1.000502  0.983885
   6.0200      1.000272  0.983659
   6.0400      1.000097  0.983487
   6.0600      0.999925  0.983319
   6.0800      0.999885  0.983279
   6.1000      0.999852  0.983247
   6.1200      0.999717  0.983114
   6.1400      0.999661  0.983059
   6.1600      0.999867  0.983262
   6.1800      1.000316  0.983703
   6.2000      1.000179  0.983568
   6.2200      1.000177  0.983566
   6.2400      1.000310  0.983697
   6.2600      1.000299  0.983686
   6.2800      1.000183  0.983573
   6.3000      1.000212  0.983600
   6.3200      1.000221  0.983610
   6.3400      1.000143  0.983532
   6.3600      0.999989  0.983382
   6.3800      0.999899  0.983293
   6.4000      0.999922  0.983316
   6.4200      1.000111  0.983501
   6.4400      1.000216  0.983604
   6.4600      1.000205  0.983594
   6.4800      1.000063  0.983454
   6.5000      1.000038  0.983430
   6.5200      1.000021  0.983413
   6.5400      0.999874  0.983268
   6.5600      0.999918  0.983312
   6.5800      0.999863  0.983257
   6.6000      1.000361  0.983747
   6.6200      1.000395  0.983780
